Chord,Note1,Note2,Note3
Bb_min_3_0,Bb_3,Cs_4,F_4
Bb_min_4_0,Bb_4,Cs_5,F_5
Bb_min_5_0,Bb_5,Cs_6,F_6
Bb_min_6_0,Bb_6,Cs_7,F_7
Bb_min_7_0,Bb_7,Cs_8,F_8
B_min_2_0,B_2,D_3,Fs_3
B_min_3_0,B_3,D_4,Fs_4
B_min_4_0,B_4,D_5,Fs_5
B_min_5_0,B_5,D_6,Fs_6
B_min_6_0,B_6,D_7,Fs_7
B_min_7_0,B_7,D_8,Fs_8
C_dim_2_0,C_2,Eb_2,Fs_2
C_dim_3_0,C_3,Eb_3,Fs_3
C_dim_4_0,C_4,Eb_4,Fs_4
C_dim_5_0,C_5,Eb_5,Fs_5
C_dim_6_0,C_6,Eb_6,Fs_6
C_dim_7_0,C_7,Eb_7,Fs_7
Cs_dim_2_0,Cs_2,E_2,G_2
Cs_dim_3_0,Cs_3,E_3,G_3
Cs_dim_4_0,Cs_4,E_4,G_4
Cs_dim_5_0,Cs_5,E_5,G_5
Cs_dim_6_0,Cs_6,E_6,G_6
Cs_dim_7_0,Cs_7,E_7,G_7
D_dim_2_0,D_2,F_2,Gs_2
D_dim_3_0,D_3,F_3,Gs_3
D_dim_4_0,D_4,F_4,Gs_4
D_dim_5_0,D_5,F_5,Gs_5
D_dim_6_0,D_6,F_6,Gs_6
D_dim_7_0,D_7,F_7,Gs_7
Eb_dim_2_0,Eb_2,Fs_2,A_2
Eb_dim_3_0,Eb_3,Fs_3,A_3
Eb_dim_4_0,Eb_4,Fs_4,A_4
Eb_dim_5_0,Eb_5,Fs_5,A_5
Eb_dim_6_0,Eb_6,Fs_6,A_6
Eb_dim_7_0,Eb_7,Fs_7,A_7
E_dim_2_0,E_2,G_2,Bb_2
E_dim_3_0,E_3,G_3,Bb_3
E_dim_4_0,E_4,G_4,Bb_4
E_dim_5_0,E_5,G_5,Bb_5
E_dim_6_0,E_6,G_6,Bb_6
E_dim_7_0,E_7,G_7,Bb_7
F_dim_2_0,F_2,Gs_2,B_3
F_dim_3_0,F_3,Gs_3,B_4
F_dim_4_0,F_4,Gs_4,B_5
F_dim_5_0,F_5,Gs_5,B_6
F_dim_6_0,F_2,Gs_6,B_7
